"strategy","wins","draws","losses","score","points"
"13, 1, 14, 14, 15, 14, 14, 1, 14",16561,1253,13281,17187.5,6
"1, 16, 16, 16, 2, 16, 16, 16, 1",16435,1494,13166,17182,6
"14, 1, 13, 15, 14, 15, 13, 1, 14",16490,1382,13223,17181,6
"16, 16, 15, 16, 16, 2, 15, 2, 2",16511,1339,13245,17180.5,6
"0, 15, 14, 15, 0, 14, 14, 14, 14",16519,1323,13253,17180.5,6
"2, 2, 21, 21, 21, 13, 13, 3, 4",16498,1364,13233,17180,6
"12, 18, 1, 16, 4, 16, 14, 17, 2",16551,1256,13288,17179,6
"4, 17, 17, 17, 4, 17, 17, 3, 4",16787,783,13525,17178.5,6
"0, 12, 13, 12, 12, 12, 14, 12, 13",16172,2013,12910,17178.5,6
"4, 14, 11, 14, 14, 1, 14, 14, 14",16468,1420,13207,17178,6
"1, 13, 13, 13, 13, 13, 13, 8, 13",16529,1289,13277,17173.5,6
"13, 12, 13, 12, 13, 2, 13, 9, 13",16533,1274,13288,17170,6
"14, 14, 14, 14, 14, 14, 1, 1, 14",16622,1095,13378,17169.5,6
"1, 1, 14, 14, 14, 14, 14, 14, 14",16551,1226,13318,17164,6
"2, 15, 15, 15, 15, 15, 15, 6, 2",16355,1618,13122,17164,6
"15, 3, 15, 15, 15, 3, 15, 4, 15",16488,1352,13255,17164,6
"1, 1, 14, 14, 14, 14, 14, 14, 14",16551,1226,13318,17164,6
"3, 3, 21, 20, 3, 13, 3, 21, 13",16547,1229,13319,17161.5,6
"1, 17, 16, 1, 1, 16, 16, 16, 16",16485,1349,13261,17159.5,6
"4, 17, 17, 17, 3, 4, 17, 17, 4",16794,729,13572,17158.5,6
"12, 12, 13, 1, 13, 10, 13, 13, 13",16369,1578,13148,17158,6
"15, 16, 16, 15, 16, 16, 2, 2, 2",16435,1441,13219,17155.5,6
"12, 4, 18, 13, 5, 14, 14, 6, 14",16699,911,13485,17154.5,6
"1, 11, 17, 12, 1, 16, 13, 14, 15",16187,1934,12974,17154,6
"1, 8, 13, 13, 13, 13, 13, 13, 13",16517,1273,13305,17153.5,6
"15, 15, 15, 4, 15, 3, 15, 3, 15",16482,1342,13271,17153,6
"1, 16, 1, 16, 1, 16, 16, 17, 16",16466,1371,13258,17151.5,6
"1, 16, 1, 16, 1, 16, 16, 17, 16",16466,1371,13258,17151.5,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"1, 14, 14, 14, 14, 14, 14, 14, 1",16504,1292,13299,17150,6
"14, 14, 14, 14, 14, 14, 1, 14, 1",16578,1141,13376,17148.5,6
"13, 13, 13, 13, 13, 13, 13, 8, 1",16525,1245,13325,17147.5,6
"13, 13, 13, 13, 13, 13, 13, 8, 1",16525,1245,13325,17147.5,6
"4, 12, 11, 4, 13, 14, 12, 15, 15",16285,1724,13086,17147,6
"3, 21, 13, 21, 3, 3, 21, 3, 12",16508,1273,13314,17144.5,6
"15, 3, 15, 15, 15, 3, 4, 15, 15",16475,1337,13283,17143.5,6
"14, 1, 14, 14, 14, 14, 14, 1, 14",16578,1128,13389,17142,6
"14, 1, 14, 14, 14, 14, 14, 1, 14",16578,1128,13389,17142,6
